Anime,Number of Figurines
"Mahou Tsukai no Yome, Mahou Tsukai no Yome: Hoshi Matsu Hito",1
death note,1
Bungaku Shoujo,1
"Cardcaptor Sakura, Kobato., CLAMP, Tsubasa Chronicle, Chobits",1
"CLAMP, Tsubasa Chronicle,",1
"Toaru Kagaku no Railgun T, Toaru Kagaku no Railgun S",1
Sonic,1
Kendeshi,1
"Kumo desu ga, Nani ka",1
High School DxD,1
"Boku no Hero Academia 7, Boku no Hero Academia 6",1
"Berserk,",1
"Touhou Gensou Mangekyou - The Memories of Phantasm, Touhou Niji Sousaku Doujin Anime - Musou Kakyou",1
"spirited away, Totoro",1
"Mushoku Tensei: Isekai Ittara Honki Dasu, Mushoku Tensei II: Isekai Ittara Honki Dasu",1
"Soul Eater Not!, Soul Eater",1
"Bungou Stray Dogs 2nd Season, Bungou Stray Dogs",1
Nintama Rantarou,1
Beastars,1
"Baki the Grappler II, Baki the Grappler",1
Ore no Imouto ga Konnani Kawaii,1
"Hajime no Ippo: New Challenger, Hajime no Ippo - Champion Road",1
"Shonan Junai Gumi, Great Teacher Onizuka",1
"Carnival Phantasm,",1
Claymore,1
"TOKIMEKI Runners, Love Live! Nijigasaki Gakuen School Idol Doukoukai",1
Ghost in the Shell,1
Pokemon,1
Trigun,1
Spice and Wolf,1
Saber Marionette,1
Valkyria Chronicles,1
"Super Sonico The Animation, Mahou Shoujo Sonico★Magica",1
Edens Zero,1
Youjo Senki,1
Macross,1
Kakegurui,1
"Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio, Detective Conan",1
"CLAMP, Tsubasa Chronicle, Chobits",1
"Mahou no Tenshi Creamy Mami, Mahou no Princess Minky Momo,",1
Noragami,1
natsume,1
"Naruto: Shippuuden, Naruto",1
Fairy Tail,1
Gantz,1
"Itou Junji: Collection Specials, Itou Junji: Collection",1
"Kimetsu no Yaiba Movie: Mugen Ressha-hen, Kimetsu no Yaiba: Yuukaku-hen",1
"Black Clover (TV), Black Clover",1
Danganronpa,1
Demonbane,1
"Kono Subarashii Sekai ni Shukufuku wo! 2, Kono Subarashii Sekai ni Shukufuku o! OVA",1
Darling in the Frankxx,1
Golden Kamuy,1
"One Piece, Monsters: Ippyaku Sanjou Hiryuu Jigoku",1
